# BEST random-per-pixel fusion
# L2=0.087043, trial=197, ref=Exact
# i,point,x,t,lambda
31,y1,1.0000000000,0.1722220000,0.25
32,y2,0.0000000000,0.1777780000,0.50
32,gt2,0.1430000000,0.1777780000,0.50
32,gt1,0.5710000000,0.1777780000,0.50
32,y1,1.0000000000,0.1777780000,0.25
33,y2,0.0000000000,0.1833330000,0.25
33,gt2,0.1430000000,0.1833330000,0.25
33,gt1,0.5710000000,0.1833330000,0.75
33,y1,1.0000000000,0.1833330000,0.50
34,y2,0.0000000000,0.1888890000,1.00
34,gt2,0.1430000000,0.1888890000,0.75
34,gt1,0.5710000000,0.1888890000,0.25
34,y1,1.0000000000,0.1888890000,0.00
35,y2,0.0000000000,0.1944440000,0.00
35,gt2,0.1430000000,0.1944440000,0.25
35,gt1,0.5710000000,0.1944440000,0.75
35,y1,1.0000000000,0.1944440000,0.75
36,y2,0.0000000000,0.2000000000,0.25
36,gt2,0.1430000000,0.2000000000,0.75
36,gt1,0.5710000000,0.2000000000,0.25
36,y1,1.0000000000,0.2000000000,0.00
37,y2,0.0000000000,0.2055560000,0.50
37,gt2,0.1430000000,0.2055560000,0.00
37,gt1,0.5710000000,0.2055560000,1.00
37,y1,1.0000000000,0.2055560000,0.50
38,y2,0.0000000000,0.2111110000,0.75
38,gt2,0.1430000000,0.2111110000,1.00
38,gt1,0.5710000000,0.2111110000,0.75
38,y1,1.0000000000,0.2111110000,0.25
39,y2,0.0000000000,0.2166670000,0.25
39,gt2,0.1430000000,0.2166670000,1.00
39,gt1,0.5710000000,0.2166670000,0.50
39,y1,1.0000000000,0.2166670000,1.00
40,y2,0.0000000000,0.2222220000,0.50
40,gt2,0.1430000000,0.2222220000,0.75
40,gt1,0.5710000000,0.2222220000,0.50
40,y1,1.0000000000,0.2222220000,1.00
41,y2,0.0000000000,0.2277780000,0.50
41,gt2,0.1430000000,0.2277780000,0.25
41,gt1,0.5710000000,0.2277780000,0.50
41,y1,1.0000000000,0.2277780000,0.50
42,y2,0.0000000000,0.2333330000,0.25
42,gt2,0.1430000000,0.2333330000,0.75
42,gt1,0.5710000000,0.2333330000,0.25
42,y1,1.0000000000,0.2333330000,0.00
43,y2,0.0000000000,0.2388890000,0.25
43,gt2,0.1430000000,0.2388890000,0.75
43,gt1,0.5710000000,0.2388890000,0.75
43,y1,1.0000000000,0.2388890000,1.00
44,y2,0.0000000000,0.2444440000,1.00
44,gt2,0.1430000000,0.2444440000,0.50
44,gt1,0.5710000000,0.2444440000,0.50
44,y1,1.0000000000,0.2444440000,0.25
45,y2,0.0000000000,0.2500000000,1.00
45,gt2,0.1430000000,0.2500000000,0.00
45,gt1,0.5710000000,0.2500000000,1.00
45,y1,1.0000000000,0.2500000000,0.25
46,y2,0.0000000000,0.2555560000,1.00
46,gt2,0.1430000000,0.2555560000,0.25
46,gt1,0.5710000000,0.2555560000,0.75
46,y1,1.0000000000,0.2555560000,1.00
47,y2,0.0000000000,0.2611110000,0.75
47,gt2,0.1430000000,0.2611110000,0.00
47,gt1,0.5710000000,0.2611110000,1.00
47,y1,1.0000000000,0.2611110000,1.00
48,y2,0.0000000000,0.2666670000,0.75
48,gt2,0.1430000000,0.2666670000,0.75
48,gt1,0.5710000000,0.2666670000,0.50
48,y1,1.0000000000,0.2666670000,0.75
49,y2,0.0000000000,0.2722220000,1.00
49,gt2,0.1430000000,0.2722220000,0.75
49,gt1,0.5710000000,0.2722220000,0.25
49,y1,1.0000000000,0.2722220000,0.00
50,y2,0.0000000000,0.2777780000,0.75
50,gt2,0.1430000000,0.2777780000,0.75
50,gt1,0.5710000000,0.2777780000,1.00
50,y1,1.0000000000,0.2777780000,0.25
51,y2,0.0000000000,0.2833330000,0.75
51,gt2,0.1430000000,0.2833330000,0.00
51,gt1,0.5710000000,0.2833330000,0.75
51,y1,1.0000000000,0.2833330000,1.00
52,y2,0.0000000000,0.2888890000,0.25
52,gt2,0.1430000000,0.2888890000,0.25
52,gt1,0.5710000000,0.2888890000,1.00
52,y1,1.0000000000,0.2888890000,0.75
53,y2,0.0000000000,0.2944440000,0.50
53,gt2,0.1430000000,0.2944440000,0.00
53,gt1,0.5710000000,0.2944440000,1.00
53,y1,1.0000000000,0.2944440000,0.00
54,y2,0.0000000000,0.3000000000,0.50
54,gt2,0.1430000000,0.3000000000,0.50
54,gt1,0.5710000000,0.3000000000,0.75
54,y1,1.0000000000,0.3000000000,0.00
55,y2,0.0000000000,0.3055560000,0.00
55,gt2,0.1430000000,0.3055560000,0.75
55,gt1,0.5710000000,0.3055560000,0.25
55,y1,1.0000000000,0.3055560000,0.00
56,y2,0.0000000000,0.3111110000,0.75
56,gt2,0.1430000000,0.3111110000,0.50
56,gt1,0.5710000000,0.3111110000,0.75
56,y1,1.0000000000,0.3111110000,0.25
57,y2,0.0000000000,0.3166670000,0.25
57,gt2,0.1430000000,0.3166670000,0.25
57,gt1,0.5710000000,0.3166670000,1.00
57,y1,1.0000000000,0.3166670000,0.75
58,y2,0.0000000000,0.3222220000,1.00
58,gt2,0.1430000000,0.3222220000,0.50
58,gt1,0.5710000000,0.3222220000,1.00
58,y1,1.0000000000,0.3222220000,0.00
59,y2,0.0000000000,0.3277780000,0.75
59,gt2,0.1430000000,0.3277780000,0.25
59,gt1,0.5710000000,0.3277780000,0.00
59,y1,1.0000000000,0.3277780000,0.25
60,y2,0.0000000000,0.3333330000,0.75
60,gt2,0.1430000000,0.3333330000,0.50
60,gt1,0.5710000000,0.3333330000,1.00
60,y1,1.0000000000,0.3333330000,0.75
61,y2,0.0000000000,0.3388890000,0.50
61,gt2,0.1430000000,0.3388890000,0.25
61,gt1,0.5710000000,0.3388890000,1.00
61,y1,1.0000000000,0.3388890000,0.25
62,y2,0.0000000000,0.3444440000,0.00
62,gt2,0.1430000000,0.3444440000,0.75
62,gt1,0.5710000000,0.3444440000,0.75
62,y1,1.0000000000,0.3444440000,0.00
63,y2,0.0000000000,0.3500000000,1.00
63,gt2,0.1430000000,0.3500000000,0.75
63,gt1,0.5710000000,0.3500000000,0.50
63,y1,1.0000000000,0.3500000000,1.00
64,y2,0.0000000000,0.3555560000,0.75
64,gt2,0.1430000000,0.3555560000,0.75
64,gt1,0.5710000000,0.3555560000,0.50
64,y1,1.0000000000,0.3555560000,0.25
65,y2,0.0000000000,0.3611110000,0.00
65,gt2,0.1430000000,0.3611110000,0.00
65,gt1,0.5710000000,0.3611110000,0.25
65,y1,1.0000000000,0.3611110000,0.25
66,y2,0.0000000000,0.3666670000,0.25
66,gt2,0.1430000000,0.3666670000,0.00
66,gt1,0.5710000000,0.3666670000,0.25
66,y1,1.0000000000,0.3666670000,0.50
67,y2,0.0000000000,0.3722220000,0.50
67,gt2,0.1430000000,0.3722220000,0.50
67,gt1,0.5710000000,0.3722220000,1.00
67,y1,1.0000000000,0.3722220000,0.75
68,y2,0.0000000000,0.3777780000,0.50
68,gt2,0.1430000000,0.3777780000,0.75
68,gt1,0.5710000000,0.3777780000,1.00
68,y1,1.0000000000,0.3777780000,0.25
69,y2,0.0000000000,0.3833330000,1.00
69,gt2,0.1430000000,0.3833330000,0.25
69,gt1,0.5710000000,0.3833330000,1.00
69,y1,1.0000000000,0.3833330000,0.50
70,y2,0.0000000000,0.3888890000,0.75
70,gt2,0.1430000000,0.3888890000,0.75
70,gt1,0.5710000000,0.3888890000,0.25
70,y1,1.0000000000,0.3888890000,0.50
71,y2,0.0000000000,0.3944440000,0.25
71,gt2,0.1430000000,0.3944440000,0.25
71,gt1,0.5710000000,0.3944440000,1.00
71,y1,1.0000000000,0.3944440000,1.00
72,y2,0.0000000000,0.4000000000,0.00
72,gt2,0.1430000000,0.4000000000,0.00
72,gt1,0.5710000000,0.4000000000,1.00
72,y1,1.0000000000,0.4000000000,0.75
73,y2,0.0000000000,0.4055560000,0.75
73,gt2,0.1430000000,0.4055560000,0.25
73,gt1,0.5710000000,0.4055560000,0.50
73,y1,1.0000000000,0.4055560000,0.50
74,y2,0.0000000000,0.4111110000,0.00
74,gt2,0.1430000000,0.4111110000,1.00
74,gt1,0.5710000000,0.4111110000,1.00
74,y1,1.0000000000,0.4111110000,0.50
75,y2,0.0000000000,0.4166670000,0.00
75,gt2,0.1430000000,0.4166670000,0.75
75,gt1,0.5710000000,0.4166670000,0.25
75,y1,1.0000000000,0.4166670000,0.75
76,y2,0.0000000000,0.4222220000,0.00
76,gt2,0.1430000000,0.4222220000,0.75
76,gt1,0.5710000000,0.4222220000,0.50
76,y1,1.0000000000,0.4222220000,0.50
77,y2,0.0000000000,0.4277780000,1.00
77,gt2,0.1430000000,0.4277780000,0.00
77,gt1,0.5710000000,0.4277780000,1.00
77,y1,1.0000000000,0.4277780000,1.00
78,y2,0.0000000000,0.4333330000,1.00
78,gt2,0.1430000000,0.4333330000,0.50
78,gt1,0.5710000000,0.4333330000,0.00
78,y1,1.0000000000,0.4333330000,1.00
79,y2,0.0000000000,0.4388890000,0.75
79,gt2,0.1430000000,0.4388890000,0.75
79,gt1,0.5710000000,0.4388890000,0.25
79,y1,1.0000000000,0.4388890000,0.75
80,y2,0.0000000000,0.4444440000,0.00
80,gt2,0.1430000000,0.4444440000,0.75
80,gt1,0.5710000000,0.4444440000,0.75
80,y1,1.0000000000,0.4444440000,1.00
81,y2,0.0000000000,0.4500000000,1.00
81,gt2,0.1430000000,0.4500000000,0.75
81,gt1,0.5710000000,0.4500000000,0.75
81,y1,1.0000000000,0.4500000000,0.50
82,y2,0.0000000000,0.4555560000,0.75
82,gt2,0.1430000000,0.4555560000,0.25
82,gt1,0.5710000000,0.4555560000,0.75
82,y1,1.0000000000,0.4555560000,0.25
83,y2,0.0000000000,0.4611110000,1.00
83,gt2,0.1430000000,0.4611110000,0.00
83,gt1,0.5710000000,0.4611110000,0.00
83,y1,1.0000000000,0.4611110000,0.25
84,y2,0.0000000000,0.4666670000,0.50
84,gt2,0.1430000000,0.4666670000,0.00
84,gt1,0.5710000000,0.4666670000,0.50
84,y1,1.0000000000,0.4666670000,0.00
85,y2,0.0000000000,0.4722220000,0.75
85,gt2,0.1430000000,0.4722220000,0.25
85,gt1,0.5710000000,0.4722220000,1.00
85,y1,1.0000000000,0.4722220000,0.75
86,y2,0.0000000000,0.4777780000,1.00
86,gt2,0.1430000000,0.4777780000,0.00
86,gt1,0.5710000000,0.4777780000,0.50
86,y1,1.0000000000,0.4777780000,0.75
87,y2,0.0000000000,0.4833330000,0.25
87,gt2,0.1430000000,0.4833330000,1.00
87,gt1,0.5710000000,0.4833330000,1.00
87,y1,1.0000000000,0.4833330000,0.50
88,y2,0.0000000000,0.4888890000,1.00
88,gt2,0.1430000000,0.4888890000,0.25
88,gt1,0.5710000000,0.4888890000,1.00
88,y1,1.0000000000,0.4888890000,0.75
89,y2,0.0000000000,0.4944440000,0.00
89,gt2,0.1430000000,0.4944440000,0.75
89,gt1,0.5710000000,0.4944440000,1.00
89,y1,1.0000000000,0.4944440000,0.25
90,y2,0.0000000000,0.5000000000,0.75
90,gt2,0.1430000000,0.5000000000,0.25
90,gt1,0.5710000000,0.5000000000,1.00
90,y1,1.0000000000,0.5000000000,1.00
91,y2,0.0000000000,0.5055560000,0.50
91,gt2,0.1430000000,0.5055560000,0.50
91,gt1,0.5710000000,0.5055560000,0.00
91,y1,1.0000000000,0.5055560000,1.00
92,y2,0.0000000000,0.5111110000,0.75
92,gt2,0.1430000000,0.5111110000,0.50
92,gt1,0.5710000000,0.5111110000,0.25
92,y1,1.0000000000,0.5111110000,0.00
93,y2,0.0000000000,0.5166670000,0.25
93,gt2,0.1430000000,0.5166670000,0.75
93,gt1,0.5710000000,0.5166670000,0.25
93,y1,1.0000000000,0.5166670000,1.00
94,y2,0.0000000000,0.5222220000,1.00
94,gt2,0.1430000000,0.5222220000,0.00
94,gt1,0.5710000000,0.5222220000,1.00
94,y1,1.0000000000,0.5222220000,0.25
95,y2,0.0000000000,0.5277780000,0.50
95,gt2,0.1430000000,0.5277780000,0.50
95,gt1,0.5710000000,0.5277780000,0.25
95,y1,1.0000000000,0.5277780000,1.00
96,y2,0.0000000000,0.5333330000,0.25
96,gt2,0.1430000000,0.5333330000,1.00
96,gt1,0.5710000000,0.5333330000,1.00
96,y1,1.0000000000,0.5333330000,0.75
97,y2,0.0000000000,0.5388890000,0.75
97,gt2,0.1430000000,0.5388890000,0.75
97,gt1,0.5710000000,0.5388890000,0.75
97,y1,1.0000000000,0.5388890000,0.00
98,y2,0.0000000000,0.5444440000,0.25
98,gt2,0.1430000000,0.5444440000,0.50
98,gt1,0.5710000000,0.5444440000,0.50
98,y1,1.0000000000,0.5444440000,0.75
99,y2,0.0000000000,0.5500000000,1.00
99,gt2,0.1430000000,0.5500000000,0.25
99,gt1,0.5710000000,0.5500000000,1.00
99,y1,1.0000000000,0.5500000000,0.00
100,y2,0.0000000000,0.5555560000,1.00
100,gt2,0.1430000000,0.5555560000,0.50
100,gt1,0.5710000000,0.5555560000,1.00
100,y1,1.0000000000,0.5555560000,1.00
101,y2,0.0000000000,0.5611110000,0.00
101,gt2,0.1430000000,0.5611110000,1.00
101,gt1,0.5710000000,0.5611110000,1.00
101,y1,1.0000000000,0.5611110000,0.50
102,y2,0.0000000000,0.5666670000,0.50
102,gt2,0.1430000000,0.5666670000,0.50
102,gt1,0.5710000000,0.5666670000,0.50
102,y1,1.0000000000,0.5666670000,0.75
103,y2,0.0000000000,0.5722220000,0.00
103,gt2,0.1430000000,0.5722220000,0.00
103,gt1,0.5710000000,0.5722220000,0.00
103,y1,1.0000000000,0.5722220000,0.50
104,y2,0.0000000000,0.5777780000,0.50
104,gt2,0.1430000000,0.5777780000,0.75
104,gt1,0.5710000000,0.5777780000,0.25
104,y1,1.0000000000,0.5777780000,0.00
105,y2,0.0000000000,0.5833330000,0.25
105,gt2,0.1430000000,0.5833330000,1.00
105,gt1,0.5710000000,0.5833330000,0.50
105,y1,1.0000000000,0.5833330000,0.50
106,y2,0.0000000000,0.5888890000,0.00
106,gt2,0.1430000000,0.5888890000,1.00
106,gt1,0.5710000000,0.5888890000,0.00
106,y1,1.0000000000,0.5888890000,0.50
107,y2,0.0000000000,0.5944440000,1.00
107,gt2,0.1430000000,0.5944440000,0.25
107,gt1,0.5710000000,0.5944440000,0.50
107,y1,1.0000000000,0.5944440000,0.25
108,y2,0.0000000000,0.6000000000,0.25
108,gt2,0.1430000000,0.6000000000,1.00
108,gt1,0.5710000000,0.6000000000,0.75
108,y1,1.0000000000,0.6000000000,0.50
109,y2,0.0000000000,0.6055560000,0.75
109,gt2,0.1430000000,0.6055560000,0.50
109,gt1,0.5710000000,0.6055560000,1.00
109,y1,1.0000000000,0.6055560000,0.75
110,y2,0.0000000000,0.6111110000,0.25
110,gt2,0.1430000000,0.6111110000,1.00
110,gt1,0.5710000000,0.6111110000,0.50
110,y1,1.0000000000,0.6111110000,1.00
111,y2,0.0000000000,0.6166670000,0.00
111,gt2,0.1430000000,0.6166670000,0.75
111,gt1,0.5710000000,0.6166670000,0.75
111,y1,1.0000000000,0.6166670000,0.25
112,y2,0.0000000000,0.6222220000,0.75
112,gt2,0.1430000000,0.6222220000,0.00
112,gt1,0.5710000000,0.6222220000,0.00
112,y1,1.0000000000,0.6222220000,0.50
113,y2,0.0000000000,0.6277780000,1.00
113,gt2,0.1430000000,0.6277780000,0.00
113,gt1,0.5710000000,0.6277780000,0.25
113,y1,1.0000000000,0.6277780000,1.00
114,y2,0.0000000000,0.6333330000,0.50
114,gt2,0.1430000000,0.6333330000,1.00
114,gt1,0.5710000000,0.6333330000,0.25
114,y1,1.0000000000,0.6333330000,0.50
115,y2,0.0000000000,0.6388890000,0.25
115,gt2,0.1430000000,0.6388890000,0.00
115,gt1,0.5710000000,0.6388890000,1.00
115,y1,1.0000000000,0.6388890000,0.25
116,y2,0.0000000000,0.6444440000,0.00
116,gt2,0.1430000000,0.6444440000,0.25
116,gt1,0.5710000000,0.6444440000,0.50
116,y1,1.0000000000,0.6444440000,0.25
117,y2,0.0000000000,0.6500000000,0.25
117,gt2,0.1430000000,0.6500000000,0.75
117,gt1,0.5710000000,0.6500000000,0.75
117,y1,1.0000000000,0.6500000000,1.00
118,y2,0.0000000000,0.6555560000,0.00
118,gt2,0.1430000000,0.6555560000,0.00
118,gt1,0.5710000000,0.6555560000,1.00
118,y1,1.0000000000,0.6555560000,1.00
119,y2,0.0000000000,0.6611110000,0.75
119,gt2,0.1430000000,0.6611110000,1.00
119,gt1,0.5710000000,0.6611110000,0.75
119,y1,1.0000000000,0.6611110000,1.00
120,y2,0.0000000000,0.6666670000,0.50
120,gt2,0.1430000000,0.6666670000,0.50
120,gt1,0.5710000000,0.6666670000,0.50
120,y1,1.0000000000,0.6666670000,0.25
121,y2,0.0000000000,0.6722220000,0.25
121,gt2,0.1430000000,0.6722220000,0.50
121,gt1,0.5710000000,0.6722220000,0.75
121,y1,1.0000000000,0.6722220000,0.75
122,y2,0.0000000000,0.6777780000,0.00
122,gt2,0.1430000000,0.6777780000,0.25
122,gt1,0.5710000000,0.6777780000,0.25
122,y1,1.0000000000,0.6777780000,0.50
123,y2,0.0000000000,0.6833330000,0.75
123,gt2,0.1430000000,0.6833330000,1.00
123,gt1,0.5710000000,0.6833330000,0.75
123,y1,1.0000000000,0.6833330000,0.00
124,y2,0.0000000000,0.6888890000,0.75
124,gt2,0.1430000000,0.6888890000,0.25
124,gt1,0.5710000000,0.6888890000,0.75
124,y1,1.0000000000,0.6888890000,0.00
125,y2,0.0000000000,0.6944440000,0.25
125,gt2,0.1430000000,0.6944440000,0.50
125,gt1,0.5710000000,0.6944440000,0.25
125,y1,1.0000000000,0.6944440000,0.50
126,y2,0.0000000000,0.7000000000,0.50
126,gt2,0.1430000000,0.7000000000,0.00
126,gt1,0.5710000000,0.7000000000,0.25
126,y1,1.0000000000,0.7000000000,0.50
127,y2,0.0000000000,0.7055560000,0.50
127,gt2,0.1430000000,0.7055560000,0.00
127,gt1,0.5710000000,0.7055560000,1.00
127,y1,1.0000000000,0.7055560000,0.75
128,y2,0.0000000000,0.7111110000,0.75
128,gt2,0.1430000000,0.7111110000,1.00
128,gt1,0.5710000000,0.7111110000,0.75
128,y1,1.0000000000,0.7111110000,0.00
129,y2,0.0000000000,0.7166670000,0.25
129,gt2,0.1430000000,0.7166670000,0.75
129,gt1,0.5710000000,0.7166670000,0.25
129,y1,1.0000000000,0.7166670000,0.50
130,y2,0.0000000000,0.7222220000,0.50
130,gt2,0.1430000000,0.7222220000,0.50
130,gt1,0.5710000000,0.7222220000,0.00
130,y1,1.0000000000,0.7222220000,0.50
131,y2,0.0000000000,0.7277780000,0.75
131,gt2,0.1430000000,0.7277780000,0.75
131,gt1,0.5710000000,0.7277780000,0.75
131,y1,1.0000000000,0.7277780000,0.75
132,y2,0.0000000000,0.7333330000,0.00
132,gt2,0.1430000000,0.7333330000,0.50
132,gt1,0.5710000000,0.7333330000,0.75
132,y1,1.0000000000,0.7333330000,0.25
133,y2,0.0000000000,0.7388890000,0.25
133,gt2,0.1430000000,0.7388890000,0.25
133,gt1,0.5710000000,0.7388890000,0.00
133,y1,1.0000000000,0.7388890000,1.00
134,y2,0.0000000000,0.7444440000,0.50
134,gt2,0.1430000000,0.7444440000,0.25
134,gt1,0.5710000000,0.7444440000,1.00
134,y1,1.0000000000,0.7444440000,1.00
135,y2,0.0000000000,0.7500000000,0.00
135,gt2,0.1430000000,0.7500000000,0.25
135,gt1,0.5710000000,0.7500000000,1.00
135,y1,1.0000000000,0.7500000000,0.50
136,y2,0.0000000000,0.7555560000,0.50
136,gt2,0.1430000000,0.7555560000,0.75
136,gt1,0.5710000000,0.7555560000,0.75
136,y1,1.0000000000,0.7555560000,0.00
137,y2,0.0000000000,0.7611110000,0.25
137,gt2,0.1430000000,0.7611110000,0.50
137,gt1,0.5710000000,0.7611110000,0.00
137,y1,1.0000000000,0.7611110000,0.25
138,y2,0.0000000000,0.7666670000,0.00
138,gt2,0.1430000000,0.7666670000,0.25
138,gt1,0.5710000000,0.7666670000,0.50
138,y1,1.0000000000,0.7666670000,0.50
139,y2,0.0000000000,0.7722220000,0.50
139,gt2,0.1430000000,0.7722220000,0.25
139,gt1,0.5710000000,0.7722220000,0.75
139,y1,1.0000000000,0.7722220000,0.50
140,y2,0.0000000000,0.7777780000,0.00
140,gt2,0.1430000000,0.7777780000,0.75
140,gt1,0.5710000000,0.7777780000,0.75
140,y1,1.0000000000,0.7777780000,0.75
141,y2,0.0000000000,0.7833330000,0.50
141,gt2,0.1430000000,0.7833330000,0.25
141,gt1,0.5710000000,0.7833330000,0.75
141,y1,1.0000000000,0.7833330000,0.25
142,y2,0.0000000000,0.7888890000,0.25
142,gt2,0.1430000000,0.7888890000,1.00
142,gt1,0.5710000000,0.7888890000,0.50
142,y1,1.0000000000,0.7888890000,1.00
143,y2,0.0000000000,0.7944440000,0.25
143,gt2,0.1430000000,0.7944440000,1.00
143,gt1,0.5710000000,0.7944440000,1.00
143,y1,1.0000000000,0.7944440000,0.75
144,y2,0.0000000000,0.8000000000,0.25
144,gt2,0.1430000000,0.8000000000,0.50
144,gt1,0.5710000000,0.8000000000,0.50
144,y1,1.0000000000,0.8000000000,0.50
145,y2,0.0000000000,0.8055560000,0.25
145,gt2,0.1430000000,0.8055560000,0.75
145,gt1,0.5710000000,0.8055560000,0.75
145,y1,1.0000000000,0.8055560000,0.00
146,y2,0.0000000000,0.8111110000,0.75
146,gt2,0.1430000000,0.8111110000,0.00
146,gt1,0.5710000000,0.8111110000,1.00
146,y1,1.0000000000,0.8111110000,0.25
147,y2,0.0000000000,0.8166670000,0.75
147,gt2,0.1430000000,0.8166670000,0.75
147,gt1,0.5710000000,0.8166670000,0.75
