# BEST random-per-pixel fusion
# L2=0.089034, trial=76, ref=Exact
# i,point,x,t,lambda
23,y2,0.0000000000,0.0511110000,0.75
23,gt2,0.1430000000,0.0511110000,0.50
23,gt1,0.5710000000,0.0511110000,0.75
23,y1,1.0000000000,0.0511110000,0.25
24,y2,0.0000000000,0.0533330000,0.75
24,gt2,0.1430000000,0.0533330000,0.75
24,gt1,0.5710000000,0.0533330000,0.75
24,y1,1.0000000000,0.0533330000,0.50
25,y2,0.0000000000,0.0555560000,0.50
25,gt2,0.1430000000,0.0555560000,0.50
25,gt1,0.5710000000,0.0555560000,1.00
25,y1,1.0000000000,0.0555560000,1.00
26,y2,0.0000000000,0.0577780000,0.25
26,gt2,0.1430000000,0.0577780000,0.50
26,gt1,0.5710000000,0.0577780000,0.75
26,y1,1.0000000000,0.0577780000,0.25
27,y2,0.0000000000,0.0600000000,0.00
27,gt2,0.1430000000,0.0600000000,0.00
27,gt1,0.5710000000,0.0600000000,0.00
27,y1,1.0000000000,0.0600000000,0.50
28,y2,0.0000000000,0.0622220000,0.50
28,gt2,0.1430000000,0.0622220000,0.75
28,gt1,0.5710000000,0.0622220000,1.00
28,y1,1.0000000000,0.0622220000,0.75
29,y2,0.0000000000,0.0644440000,0.50
29,gt2,0.1430000000,0.0644440000,1.00
29,gt1,0.5710000000,0.0644440000,1.00
29,y1,1.0000000000,0.0644440000,0.75
30,y2,0.0000000000,0.0666670000,0.75
30,gt2,0.1430000000,0.0666670000,0.50
30,gt1,0.5710000000,0.0666670000,0.25
30,y1,1.0000000000,0.0666670000,0.25
31,y2,0.0000000000,0.0688890000,1.00
31,gt2,0.1430000000,0.0688890000,1.00
31,gt1,0.5710000000,0.0688890000,1.00
31,y1,1.0000000000,0.0688890000,0.50
32,y2,0.0000000000,0.0711110000,0.75
32,gt2,0.1430000000,0.0711110000,0.00
32,gt1,0.5710000000,0.0711110000,1.00
32,y1,1.0000000000,0.0711110000,1.00
33,y2,0.0000000000,0.0733330000,0.75
33,gt2,0.1430000000,0.0733330000,0.25
33,gt1,0.5710000000,0.0733330000,0.75
33,y1,1.0000000000,0.0733330000,0.00
34,y2,0.0000000000,0.0755560000,0.00
34,gt2,0.1430000000,0.0755560000,0.00
34,gt1,0.5710000000,0.0755560000,0.50
34,y1,1.0000000000,0.0755560000,0.25
35,y2,0.0000000000,0.0777780000,0.75
35,gt2,0.1430000000,0.0777780000,0.25
35,gt1,0.5710000000,0.0777780000,0.75
35,y1,1.0000000000,0.0777780000,0.50
36,y2,0.0000000000,0.0800000000,0.75
36,gt2,0.1430000000,0.0800000000,0.25
36,gt1,0.5710000000,0.0800000000,0.75
36,y1,1.0000000000,0.0800000000,1.00
37,y2,0.0000000000,0.0822220000,0.50
37,gt2,0.1430000000,0.0822220000,0.50
37,gt1,0.5710000000,0.0822220000,0.50
37,y1,1.0000000000,0.0822220000,0.50
38,y2,0.0000000000,0.0844440000,0.00
38,gt2,0.1430000000,0.0844440000,0.75
38,gt1,0.5710000000,0.0844440000,0.50
38,y1,1.0000000000,0.0844440000,0.00
39,y2,0.0000000000,0.0866670000,1.00
39,gt2,0.1430000000,0.0866670000,0.25
39,gt1,0.5710000000,0.0866670000,0.75
39,y1,1.0000000000,0.0866670000,0.75
40,y2,0.0000000000,0.0888890000,0.50
40,gt2,0.1430000000,0.0888890000,0.25
40,gt1,0.5710000000,0.0888890000,1.00
40,y1,1.0000000000,0.0888890000,0.00
41,y2,0.0000000000,0.0911110000,0.00
41,gt2,0.1430000000,0.0911110000,0.50
41,gt1,0.5710000000,0.0911110000,0.00
41,y1,1.0000000000,0.0911110000,0.25
42,y2,0.0000000000,0.0933330000,0.00
42,gt2,0.1430000000,0.0933330000,1.00
42,gt1,0.5710000000,0.0933330000,0.00
42,y1,1.0000000000,0.0933330000,0.00
43,y2,0.0000000000,0.0955560000,1.00
43,gt2,0.1430000000,0.0955560000,0.00
43,gt1,0.5710000000,0.0955560000,0.25
43,y1,1.0000000000,0.0955560000,0.50
44,y2,0.0000000000,0.0977780000,0.00
44,gt2,0.1430000000,0.0977780000,0.25
44,gt1,0.5710000000,0.0977780000,1.00
44,y1,1.0000000000,0.0977780000,1.00
45,y2,0.0000000000,0.1000000000,0.75
45,gt2,0.1430000000,0.1000000000,0.00
45,gt1,0.5710000000,0.1000000000,1.00
45,y1,1.0000000000,0.1000000000,0.50
46,y2,0.0000000000,0.1022220000,0.25
46,gt2,0.1430000000,0.1022220000,0.75
46,gt1,0.5710000000,0.1022220000,0.75
46,y1,1.0000000000,0.1022220000,0.00
47,y2,0.0000000000,0.1044440000,0.75
47,gt2,0.1430000000,0.1044440000,1.00
47,gt1,0.5710000000,0.1044440000,0.75
47,y1,1.0000000000,0.1044440000,0.75
48,y2,0.0000000000,0.1066670000,0.75
48,gt2,0.1430000000,0.1066670000,0.25
48,gt1,0.5710000000,0.1066670000,0.25
48,y1,1.0000000000,0.1066670000,0.50
49,y2,0.0000000000,0.1088890000,0.25
49,gt2,0.1430000000,0.1088890000,0.00
49,gt1,0.5710000000,0.1088890000,0.75
49,y1,1.0000000000,0.1088890000,0.25
50,y2,0.0000000000,0.1111110000,0.75
50,gt2,0.1430000000,0.1111110000,0.25
50,gt1,0.5710000000,0.1111110000,0.25
50,y1,1.0000000000,0.1111110000,0.25
51,y2,0.0000000000,0.1133330000,0.00
51,gt2,0.1430000000,0.1133330000,0.75
51,gt1,0.5710000000,0.1133330000,0.75
51,y1,1.0000000000,0.1133330000,1.00
52,y2,0.0000000000,0.1155560000,0.75
52,gt2,0.1430000000,0.1155560000,0.25
52,gt1,0.5710000000,0.1155560000,1.00
52,y1,1.0000000000,0.1155560000,0.00
53,y2,0.0000000000,0.1177780000,0.75
53,gt2,0.1430000000,0.1177780000,0.00
53,gt1,0.5710000000,0.1177780000,0.75
53,y1,1.0000000000,0.1177780000,1.00
54,y2,0.0000000000,0.1200000000,0.75
54,gt2,0.1430000000,0.1200000000,0.00
54,gt1,0.5710000000,0.1200000000,0.00
54,y1,1.0000000000,0.1200000000,0.75
55,y2,0.0000000000,0.1222220000,0.50
55,gt2,0.1430000000,0.1222220000,0.00
55,gt1,0.5710000000,0.1222220000,0.75
55,y1,1.0000000000,0.1222220000,0.75
56,y2,0.0000000000,0.1244440000,0.75
56,gt2,0.1430000000,0.1244440000,0.25
56,gt1,0.5710000000,0.1244440000,1.00
56,y1,1.0000000000,0.1244440000,0.25
57,y2,0.0000000000,0.1266670000,1.00
57,gt2,0.1430000000,0.1266670000,0.00
57,gt1,0.5710000000,0.1266670000,0.00
57,y1,1.0000000000,0.1266670000,1.00
58,y2,0.0000000000,0.1288890000,0.00
58,gt2,0.1430000000,0.1288890000,0.50
58,gt1,0.5710000000,0.1288890000,0.75
58,y1,1.0000000000,0.1288890000,0.00
59,y2,0.0000000000,0.1311110000,0.00
59,gt2,0.1430000000,0.1311110000,0.00
59,gt1,0.5710000000,0.1311110000,0.75
59,y1,1.0000000000,0.1311110000,0.75
60,y2,0.0000000000,0.1333330000,0.75
60,gt2,0.1430000000,0.1333330000,0.25
60,gt1,0.5710000000,0.1333330000,1.00
60,y1,1.0000000000,0.1333330000,0.50
61,y2,0.0000000000,0.1355560000,0.25
61,gt2,0.1430000000,0.1355560000,0.00
61,gt1,0.5710000000,0.1355560000,0.50
61,y1,1.0000000000,0.1355560000,0.25
62,y2,0.0000000000,0.1377780000,1.00
62,gt2,0.1430000000,0.1377780000,0.75
62,gt1,0.5710000000,0.1377780000,0.75
62,y1,1.0000000000,0.1377780000,0.00
63,y2,0.0000000000,0.1400000000,0.50
63,gt2,0.1430000000,0.1400000000,0.25
63,gt1,0.5710000000,0.1400000000,0.50
63,y1,1.0000000000,0.1400000000,1.00
64,y2,0.0000000000,0.1422220000,1.00
64,gt2,0.1430000000,0.1422220000,0.75
64,gt1,0.5710000000,0.1422220000,0.25
64,y1,1.0000000000,0.1422220000,1.00
65,y2,0.0000000000,0.1444440000,0.75
65,gt2,0.1430000000,0.1444440000,0.00
65,gt1,0.5710000000,0.1444440000,0.00
65,y1,1.0000000000,0.1444440000,1.00
66,y2,0.0000000000,0.1466670000,0.00
66,gt2,0.1430000000,0.1466670000,0.75
66,gt1,0.5710000000,0.1466670000,0.00
66,y1,1.0000000000,0.1466670000,0.00
67,y2,0.0000000000,0.1488890000,0.00
67,gt2,0.1430000000,0.1488890000,0.50
67,gt1,0.5710000000,0.1488890000,1.00
67,y1,1.0000000000,0.1488890000,0.25
68,y2,0.0000000000,0.1511110000,0.25
68,gt2,0.1430000000,0.1511110000,1.00
68,gt1,0.5710000000,0.1511110000,0.50
68,y1,1.0000000000,0.1511110000,0.75
69,y2,0.0000000000,0.1533330000,0.75
69,gt2,0.1430000000,0.1533330000,0.75
69,gt1,0.5710000000,0.1533330000,0.00
69,y1,1.0000000000,0.1533330000,1.00
70,y2,0.0000000000,0.1555560000,0.75
70,gt2,0.1430000000,0.1555560000,0.25
70,gt1,0.5710000000,0.1555560000,0.75
70,y1,1.0000000000,0.1555560000,0.00
71,y2,0.0000000000,0.1577780000,1.00
71,gt2,0.1430000000,0.1577780000,0.50
71,gt1,0.5710000000,0.1577780000,0.00
71,y1,1.0000000000,0.1577780000,1.00
72,y2,0.0000000000,0.1600000000,0.50
72,gt2,0.1430000000,0.1600000000,0.75
72,gt1,0.5710000000,0.1600000000,0.75
72,y1,1.0000000000,0.1600000000,0.00
73,y2,0.0000000000,0.1622220000,0.25
73,gt2,0.1430000000,0.1622220000,1.00
73,gt1,0.5710000000,0.1622220000,0.50
73,y1,1.0000000000,0.1622220000,0.50
74,y2,0.0000000000,0.1644440000,1.00
74,gt2,0.1430000000,0.1644440000,0.25
74,gt1,0.5710000000,0.1644440000,0.50
74,y1,1.0000000000,0.1644440000,0.50
75,y2,0.0000000000,0.1666670000,1.00
75,gt2,0.1430000000,0.1666670000,0.50
75,gt1,0.5710000000,0.1666670000,0.75
75,y1,1.0000000000,0.1666670000,1.00
76,y2,0.0000000000,0.1688890000,0.00
76,gt2,0.1430000000,0.1688890000,0.25
76,gt1,0.5710000000,0.1688890000,0.75
76,y1,1.0000000000,0.1688890000,0.75
77,y2,0.0000000000,0.1711110000,0.00
77,gt2,0.1430000000,0.1711110000,0.00
77,gt1,0.5710000000,0.1711110000,0.50
77,y1,1.0000000000,0.1711110000,0.50
78,y2,0.0000000000,0.1733330000,0.25
78,gt2,0.1430000000,0.1733330000,1.00
78,gt1,0.5710000000,0.1733330000,0.25
78,y1,1.0000000000,0.1733330000,0.75
79,y2,0.0000000000,0.1755560000,1.00
79,gt2,0.1430000000,0.1755560000,1.00
79,gt1,0.5710000000,0.1755560000,1.00
79,y1,1.0000000000,0.1755560000,0.00
80,y2,0.0000000000,0.1777780000,0.75
80,gt2,0.1430000000,0.1777780000,0.50
80,gt1,0.5710000000,0.1777780000,1.00
80,y1,1.0000000000,0.1777780000,0.50
81,y2,0.0000000000,0.1800000000,0.00
81,gt2,0.1430000000,0.1800000000,0.00
81,gt1,0.5710000000,0.1800000000,0.75
81,y1,1.0000000000,0.1800000000,0.50
82,y2,0.0000000000,0.1822220000,0.25
82,gt2,0.1430000000,0.1822220000,0.25
82,gt1,0.5710000000,0.1822220000,0.75
82,y1,1.0000000000,0.1822220000,0.00
83,y2,0.0000000000,0.1844440000,0.00
83,gt2,0.1430000000,0.1844440000,0.00
83,gt1,0.5710000000,0.1844440000,0.50
83,y1,1.0000000000,0.1844440000,0.50
84,y2,0.0000000000,0.1866670000,0.75
84,gt2,0.1430000000,0.1866670000,0.00
84,gt1,0.5710000000,0.1866670000,0.50
84,y1,1.0000000000,0.1866670000,0.25
85,y2,0.0000000000,0.1888890000,0.75
85,gt2,0.1430000000,0.1888890000,1.00
85,gt1,0.5710000000,0.1888890000,0.00
85,y1,1.0000000000,0.1888890000,0.50
86,y2,0.0000000000,0.1911110000,0.50
86,gt2,0.1430000000,0.1911110000,0.50
86,gt1,0.5710000000,0.1911110000,0.25
86,y1,1.0000000000,0.1911110000,0.50
87,y2,0.0000000000,0.1933330000,0.75
87,gt2,0.1430000000,0.1933330000,0.00
87,gt1,0.5710000000,0.1933330000,0.75
87,y1,1.0000000000,0.1933330000,1.00
88,y2,0.0000000000,0.1955560000,1.00
88,gt2,0.1430000000,0.1955560000,0.75
88,gt1,0.5710000000,0.1955560000,0.25
88,y1,1.0000000000,0.1955560000,0.50
89,y2,0.0000000000,0.1977780000,1.00
89,gt2,0.1430000000,0.1977780000,0.00
89,gt1,0.5710000000,0.1977780000,0.75
89,y1,1.0000000000,0.1977780000,0.75
90,y2,0.0000000000,0.2000000000,0.00
90,gt2,0.1430000000,0.2000000000,0.25
90,gt1,0.5710000000,0.2000000000,0.25
90,y1,1.0000000000,0.2000000000,0.50
91,y2,0.0000000000,0.2022220000,0.75
91,gt2,0.1430000000,0.2022220000,0.25
91,gt1,0.5710000000,0.2022220000,0.00
91,y1,1.0000000000,0.2022220000,0.50
92,y2,0.0000000000,0.2044440000,1.00
92,gt2,0.1430000000,0.2044440000,1.00
92,gt1,0.5710000000,0.2044440000,0.50
92,y1,1.0000000000,0.2044440000,0.25
93,y2,0.0000000000,0.2066670000,0.25
93,gt2,0.1430000000,0.2066670000,0.25
93,gt1,0.5710000000,0.2066670000,0.25
93,y1,1.0000000000,0.2066670000,0.50
94,y2,0.0000000000,0.2088890000,0.50
94,gt2,0.1430000000,0.2088890000,0.25
94,gt1,0.5710000000,0.2088890000,0.75
94,y1,1.0000000000,0.2088890000,1.00
95,y2,0.0000000000,0.2111110000,0.75
95,gt2,0.1430000000,0.2111110000,0.00
95,gt1,0.5710000000,0.2111110000,0.50
95,y1,1.0000000000,0.2111110000,0.00
96,y2,0.0000000000,0.2133330000,0.25
96,gt2,0.1430000000,0.2133330000,0.75
96,gt1,0.5710000000,0.2133330000,1.00
96,y1,1.0000000000,0.2133330000,0.75
97,y2,0.0000000000,0.2155560000,0.25
97,gt2,0.1430000000,0.2155560000,0.25
97,gt1,0.5710000000,0.2155560000,0.50
97,y1,1.0000000000,0.2155560000,0.00
98,y2,0.0000000000,0.2177780000,0.25
98,gt2,0.1430000000,0.2177780000,0.00
98,gt1,0.5710000000,0.2177780000,1.00
98,y1,1.0000000000,0.2177780000,0.25
99,y2,0.0000000000,0.2200000000,0.50
99,gt2,0.1430000000,0.2200000000,0.25
99,gt1,0.5710000000,0.2200000000,0.75
99,y1,1.0000000000,0.2200000000,0.50
100,y2,0.0000000000,0.2222220000,0.25
100,gt2,0.1430000000,0.2222220000,0.75
100,gt1,0.5710000000,0.2222220000,1.00
100,y1,1.0000000000,0.2222220000,0.75
101,y2,0.0000000000,0.2244440000,0.25
101,gt2,0.1430000000,0.2244440000,0.00
101,gt1,0.5710000000,0.2244440000,0.75
101,y1,1.0000000000,0.2244440000,0.50
102,y2,0.0000000000,0.2266670000,0.00
102,gt2,0.1430000000,0.2266670000,0.00
102,gt1,0.5710000000,0.2266670000,0.00
102,y1,1.0000000000,0.2266670000,0.75
103,y2,0.0000000000,0.2288890000,0.25
103,gt2,0.1430000000,0.2288890000,0.25
103,gt1,0.5710000000,0.2288890000,1.00
103,y1,1.0000000000,0.2288890000,0.75
104,y2,0.0000000000,0.2311110000,0.00
104,gt2,0.1430000000,0.2311110000,0.50
104,gt1,0.5710000000,0.2311110000,0.25
104,y1,1.0000000000,0.2311110000,1.00
105,y2,0.0000000000,0.2333330000,0.50
105,gt2,0.1430000000,0.2333330000,0.00
105,gt1,0.5710000000,0.2333330000,0.25
105,y1,1.0000000000,0.2333330000,0.50
106,y2,0.0000000000,0.2355560000,0.25
106,gt2,0.1430000000,0.2355560000,0.25
106,gt1,0.5710000000,0.2355560000,1.00
106,y1,1.0000000000,0.2355560000,0.00
107,y2,0.0000000000,0.2377780000,0.25
107,gt2,0.1430000000,0.2377780000,0.50
107,gt1,0.5710000000,0.2377780000,0.75
107,y1,1.0000000000,0.2377780000,0.75
108,y2,0.0000000000,0.2400000000,0.25
108,gt2,0.1430000000,0.2400000000,0.75
108,gt1,0.5710000000,0.2400000000,0.75
108,y1,1.0000000000,0.2400000000,0.00
109,y2,0.0000000000,0.2422220000,0.50
109,gt2,0.1430000000,0.2422220000,0.75
109,gt1,0.5710000000,0.2422220000,0.00
109,y1,1.0000000000,0.2422220000,0.75
110,y2,0.0000000000,0.2444440000,0.50
110,gt2,0.1430000000,0.2444440000,0.00
110,gt1,0.5710000000,0.2444440000,0.50
110,y1,1.0000000000,0.2444440000,0.25
111,y2,0.0000000000,0.2466670000,0.75
111,gt2,0.1430000000,0.2466670000,0.25
111,gt1,0.5710000000,0.2466670000,0.75
111,y1,1.0000000000,0.2466670000,0.75
112,y2,0.0000000000,0.2488890000,0.75
112,gt2,0.1430000000,0.2488890000,0.25
112,gt1,0.5710000000,0.2488890000,0.00
112,y1,1.0000000000,0.2488890000,0.25
113,y2,0.0000000000,0.2511110000,0.25
113,gt2,0.1430000000,0.2511110000,0.50
113,gt1,0.5710000000,0.2511110000,1.00
113,y1,1.0000000000,0.2511110000,0.75
114,y2,0.0000000000,0.2533330000,1.00
114,gt2,0.1430000000,0.2533330000,0.25
114,gt1,0.5710000000,0.2533330000,0.00
114,y1,1.0000000000,0.2533330000,1.00
115,y2,0.0000000000,0.2555560000,1.00
115,gt2,0.1430000000,0.2555560000,0.75
115,gt1,0.5710000000,0.2555560000,0.50
115,y1,1.0000000000,0.2555560000,0.00
116,y2,0.0000000000,0.2577780000,0.75
116,gt2,0.1430000000,0.2577780000,1.00
116,gt1,0.5710000000,0.2577780000,0.50
116,y1,1.0000000000,0.2577780000,0.75
117,y2,0.0000000000,0.2600000000,0.00
117,gt2,0.1430000000,0.2600000000,0.25
117,gt1,0.5710000000,0.2600000000,0.75
117,y1,1.0000000000,0.2600000000,0.25
118,y2,0.0000000000,0.2622220000,0.00
118,gt2,0.1430000000,0.2622220000,0.50
118,gt1,0.5710000000,0.2622220000,0.75
118,y1,1.0000000000,0.2622220000,0.00
119,y2,0.0000000000,0.2644440000,0.25
119,gt2,0.1430000000,0.2644440000,1.00
119,gt1,0.5710000000,0.2644440000,0.00
119,y1,1.0000000000,0.2644440000,0.00
120,y2,0.0000000000,0.2666670000,1.00
120,gt2,0.1430000000,0.2666670000,0.00
120,gt1,0.5710000000,0.2666670000,0.50
120,y1,1.0000000000,0.2666670000,0.50
121,y2,0.0000000000,0.2688890000,0.75
121,gt2,0.1430000000,0.2688890000,0.75
121,gt1,0.5710000000,0.2688890000,0.75
121,y1,1.0000000000,0.2688890000,1.00
122,y2,0.0000000000,0.2711110000,0.75
122,gt2,0.1430000000,0.2711110000,0.00
122,gt1,0.5710000000,0.2711110000,0.50
122,y1,1.0000000000,0.2711110000,0.00
123,y2,0.0000000000,0.2733330000,0.25
123,gt2,0.1430000000,0.2733330000,0.75
123,gt1,0.5710000000,0.2733330000,1.00
123,y1,1.0000000000,0.2733330000,0.25
124,y2,0.0000000000,0.2755560000,0.00
124,gt2,0.1430000000,0.2755560000,0.00
124,gt1,0.5710000000,0.2755560000,0.50
124,y1,1.0000000000,0.2755560000,0.00
125,y2,0.0000000000,0.2777780000,0.25
125,gt2,0.1430000000,0.2777780000,1.00
125,gt1,0.5710000000,0.2777780000,0.25
125,y1,1.0000000000,0.2777780000,0.75
126,y2,0.0000000000,0.2800000000,0.00
126,gt2,0.1430000000,0.2800000000,0.25
126,gt1,0.5710000000,0.2800000000,0.50
126,y1,1.0000000000,0.2800000000,0.50
127,y2,0.0000000000,0.2822220000,0.50
127,gt2,0.1430000000,0.2822220000,1.00
127,gt1,0.5710000000,0.2822220000,1.00
127,y1,1.0000000000,0.2822220000,1.00
128,y2,0.0000000000,0.2844440000,0.75
128,gt2,0.1430000000,0.2844440000,0.50
128,gt1,0.5710000000,0.2844440000,0.75
128,y1,1.0000000000,0.2844440000,1.00
129,y2,0.0000000000,0.2866670000,0.75
129,gt2,0.1430000000,0.2866670000,0.75
129,gt1,0.5710000000,0.2866670000,0.75
129,y1,1.0000000000,0.2866670000,0.50
130,y2,0.0000000000,0.2888890000,0.50
130,gt2,0.1430000000,0.2888890000,0.25
130,gt1,0.5710000000,0.2888890000,0.25
130,y1,1.0000000000,0.2888890000,1.00
131,y2,0.0000000000,0.2911110000,0.00
131,gt2,0.1430000000,0.2911110000,0.00
131,gt1,0.5710000000,0.2911110000,0.50
131,y1,1.0000000000,0.2911110000,0.50
132,y2,0.0000000000,0.2933330000,0.00
132,gt2,0.1430000000,0.2933330000,0.00
132,gt1,0.5710000000,0.2933330000,0.25
132,y1,1.0000000000,0.2933330000,0.00
133,y2,0.0000000000,0.2955560000,1.00
133,gt2,0.1430000000,0.2955560000,0.00
133,gt1,0.5710000000,0.2955560000,1.00
133,y1,1.0000000000,0.2955560000,0.25
134,y2,0.0000000000,0.2977780000,0.75
134,gt2,0.1430000000,0.2977780000,0.75
134,gt1,0.5710000000,0.2977780000,0.25
134,y1,1.0000000000,0.2977780000,0.00
135,y2,0.0000000000,0.3000000000,0.75
135,gt2,0.1430000000,0.3000000000,1.00
135,gt1,0.5710000000,0.3000000000,0.50
135,y1,1.0000000000,0.3000000000,1.00
136,y2,0.0000000000,0.3022220000,0.75
136,gt2,0.1430000000,0.3022220000,0.50
136,gt1,0.5710000000,0.3022220000,0.75
136,y1,1.0000000000,0.3022220000,0.75
137,y2,0.0000000000,0.3044440000,0.75
137,gt2,0.1430000000,0.3044440000,0.75
137,gt1,0.5710000000,0.3044440000,1.00
137,y1,1.0000000000,0.3044440000,0.50
138,y2,0.0000000000,0.3066670000,0.50
138,gt2,0.1430000000,0.3066670000,0.25
138,gt1,0.5710000000,0.3066670000,0.25
138,y1,1.0000000000,0.3066670000,0.75
139,y2,0.0000000000,0.3088890000,1.00
139,gt2,0.1430000000,0.3088890000,0.25
139,gt1,0.5710000000,0.3088890000,1.00
139,y1,1.0000000000,0.3088890000,0.25
140,y2,0.0000000000,0.3111110000,0.75
140,gt2,0.1430000000,0.3111110000,0.00
140,gt1,0.5710000000,0.3111110000,0.75
140,y1,1.0000000000,0.3111110000,0.50
141,y2,0.0000000000,0.3133330000,0.75
141,gt2,0.1430000000,0.3133330000,0.00
141,gt1,0.5710000000,0.3133330000,0.50
141,y1,1.0000000000,0.3133330000,1.00
142,y2,0.0000000000,0.3155560000,0.25
142,gt2,0.1430000000,0.3155560000,0.50
142,gt1,0.5710000000,0.3155560000,0.50
142,y1,1.0000000000,0.3155560000,0.75
143,y2,0.0000000000,0.3177780000,0.75
143,gt2,0.1430000000,0.3177780000,0.50
143,gt1,0.5710000000,0.3177780000,0.50
143,y1,1.0000000000,0.3177780000,0.75
144,y2,0.0000000000,0.3200000000,0.00
144,gt2,0.1430000000,0.3200000000,1.00
144,gt1,0.5710000000,0.3200000000,0.25
144,y1,1.0000000000,0.3200000000,0.50
145,y2,0.0000000000,0.3222220000,0.00
145,gt2,0.1430000000,0.3222220000,0.25
145,gt1,0.5710000000,0.3222220000,0.50
145,y1,1.0000000000,0.3222220000,0.75
146,y2,0.0000000000,0.3244440000,1.00
146,gt2,0.1430000000,0.3244440000,1.00
146,gt1,0.5710000000,0.3244440000,1.00
146,y1,1.0000000000,0.3244440000,0.00
147,y2,0.0000000000,0.3266670000,0.50
147,gt2,0.1430000000,0.3266670000,0.75
147,gt1,0.5710000000,0.3266670000,0.75
